TIME,Value,Open,High,Low,Close,Adj Close,Volume
5/6/2015,125.0550005,126.559998,126.75,123.360001,125.010002,115.041649,72141000
5/7/2015,125.0499995,124.769997,126.080002,124.019997,125.260002,115.753204,43940900
5/8/2015,126.865002,126.68,127.620003,126.110001,127.620003,117.93409,55550400
5/11/2015,126.5949975,127.389999,127.559998,125.629997,126.32,116.73275,42035800
5/12/2015,125.8499985,125.599998,126.879997,124.82,125.870003,116.316917,48160000
5/13/2015,126.5300025,126.150002,127.190002,125.870003,126.010002,116.446297,34694200
5/14/2015,128.0550005,127.410004,128.949997,127.160004,128.949997,119.163139,45203500
5/15/2015,128.850006,129.070007,129.490005,128.210007,128.770004,118.996811,38208000
5/18/2015,129.540001,128.380005,130.720001,128.360001,130.190002,120.309013,50882900
5/19/2015,130.260002,130.690002,130.880005,129.639999,130.070007,120.198143,44633200
5/20/2015,130.159996,130,130.979996,129.339996,130.059998,120.188896,36454900
5/21/2015,130.7300035,130.070007,131.630005,129.830002,131.389999,121.417961,39730400
5/22/2015,132.1849975,131.600006,132.970001,131.399994,132.539993,122.480698,45596000
5/26/2015,131.0149995,132.600006,132.910004,129.119995,129.619995,119.782288,70697600
5/27/2015,131.154999,130.339996,132.259995,130.050003,132.039993,122.018639,45833200
5/28/2015,131.5250015,131.860001,131.949997,131.100006,131.779999,121.778351,30733300
5/29/2015,130.6749955,131.229996,131.449997,129.899994,130.279999,120.392212,50884500
6/1/2015,130.720001,130.279999,131.389999,130.050003,130.539993,120.632462,32112800
6/2/2015,129.9900055,129.860001,130.660004,129.320007,129.960007,120.096481,33667600
6/3/2015,130.419998,130.660004,130.940002,129.899994,130.119995,120.244347,30983500
6/4/2015,129.745003,129.580002,130.580002,128.910004,129.360001,119.542023,38450100
6/5/2015,129.0250015,129.5,129.690002,128.360001,128.649994,118.88591,35626800
6/8/2015,128.0200045,128.899994,129.210007,126.830002,127.800003,118.100426,52674800
6/9/2015,126.8500025,126.699997,128.080002,125.620003,127.419998,117.74926,56075400
6/10/2015,128.594997,127.919998,129.339996,127.849998,128.880005,119.098442,39087300
6/11/2015,129.3299945,129.179993,130.179993,128.479996,128.589996,118.830467,35390900
6/12/2015,127.7200015,128.190002,128.330002,127.110001,127.169998,117.518242,36886200
6/15/2015,126.4749985,126.099998,127.239998,125.709999,126.919998,117.287209,43988900
6/16/2015,127.1100005,127.029999,127.849998,126.370003,127.599998,117.915596,31494100
6/17/2015,127.3099975,127.720001,127.879997,126.739998,127.300003,117.638382,32918100
6/18/2015,127.7649995,127.230003,128.309998,127.220001,127.879997,118.174355,35407200
6/19/2015,127.110001,127.709999,127.82,126.400002,126.599998,116.991508,54716900
6/22/2015,127.57,127.489998,128.059998,127.080002,127.610001,117.92485,34039300
6/23/2015,127.244999,127.480003,127.610001,126.879997,127.029999,117.38887,30268900
6/24/2015,128.460003,127.209999,129.800003,127.120003,128.110001,118.386902,55280900
6/25/2015,128.3499985,128.860001,129.199997,127.5,127.5,117.823212,31938100
6/26/2015,127.25,127.669998,127.989998,126.510002,126.75,117.130112,44066800
6/29/2015,125.475002,125.459999,126.470001,124.480003,124.529999,115.078606,49161400
6/30/2015,125.490002,125.57,126.120003,124.860001,125.43,115.910301,44370700
7/1/2015,126.465,126.900002,126.940002,125.989998,126.599998,116.991508,30238800
7/2/2015,126.2299995,126.43,126.690002,125.769997,126.440002,116.843628,27211000
7/6/2015,125.5400005,124.940002,126.230003,124.849998,126,116.437035,28060400
7/7/2015,124.9599995,125.889999,126.150002,123.769997,125.690002,116.150574,46946800
7/8/2015,123.59,124.480003,124.639999,122.540001,122.57,113.267365,60761600
7/9/2015,121.6399995,123.849998,124.059998,119.220001,120.07,110.957115,78595000
7/10/2015,122.5299985,121.940002,123.849998,121.209999,123.279999,113.92347,61354500
7/13/2015,125.040001,125.029999,125.760002,124.32,125.660004,116.122849,41440500
7/14/2015,125.705002,126.040001,126.370003,125.040001,125.610001,116.076622,31768100
7/15/2015,126.365002,125.720001,127.150002,125.580002,126.82,117.194809,33649200
7/16/2015,127.9600025,127.739998,128.570007,127.349998,128.509995,118.756546,36222400
7/17/2015,128.9649965,129.080002,129.619995,128.309998,129.619995,119.782288,46164700
7/20/2015,131.834999,130.970001,132.970001,130.699997,132.070007,122.046364,58900200
7/21/2015,131.6200025,132.850006,132.919998,130.320007,130.75,120.826538,76756400
7/22/2015,123.744999,121.989998,125.5,121.989998,125.220001,115.716232,115450600
7/23/2015,126.074997,126.199997,127.089996,125.059998,125.160004,115.660782,50999500
7/24/2015,124.82,125.32,125.739998,123.900002,124.5,115.050888,42162300
7/27/2015,122.865002,123.089996,123.610001,122.120003,122.769997,113.452171,44455500
7/28/2015,123.2300035,123.379997,123.910004,122.550003,123.379997,114.015884,33618100
7/29/2015,122.8849985,123.150002,123.5,122.269997,122.989998,113.655472,37011700
7/30/2015,122.1399995,122.32,122.57,121.709999,122.370003,113.082558,33628300
7/31/2015,121.7750015,122.599998,122.639999,120.910004,121.300003,112.09375,42885000
8/3/2015,120.0449985,121.5,122.57,117.519997,118.440002,109.450813,69976000
8/4/2015,115.4749985,117.419998,117.699997,113.25,114.639999,105.939217,124138600
8/5/2015,114.77,112.949997,117.440002,112.099998,115.400002,106.641548,99312600
8/6/2015,115.3100015,115.970001,116.5,114.120003,115.129997,106.873604,52903000
8/7/2015,115.375,114.580002,116.25,114.5,115.519997,107.235649,38670400
8/10/2015,118.2599985,116.529999,119.989998,116.529999,119.720001,111.134445,54951600
8/11/2015,115.755001,117.809998,118.18,113.330002,113.489998,105.351234,97082800
8/12/2015,112.5249975,112.529999,115.419998,109.629997,115.239998,106.975708,101217500
8/13/2015,115.4700015,116.040001,116.400002,114.540001,115.150002,106.892189,48535800
8/14/2015,115.16,114.32,116.309998,114.010002,115.959999,107.644073,42929500
8/17/2015,116.575001,116.040001,117.650002,115.5,117.160004,108.758026,40884700
8/18/2015,116.725002,116.43,117.440002,116.010002,116.5,108.145378,34560700
8/19/2015,115.5999985,116.099998,116.519997,114.68,115.010002,106.762238,48286500
8/20/2015,112.9899975,114.080002,114.349998,111.629997,112.650002,104.571457,68501600
8/21/2015,108.775002,110.43,111.900002,105.650002,105.760002,98.175545,128275500
8/24/2015,100.4000015,94.870003,108.800003,92,103.120003,95.724899,162206300
8/25/2015,107.3050005,111.110001,111.110001,103.5,103.739998,96.300423,103601600
8/26/2015,107.470001,107.089996,109.889999,105.050003,109.690002,101.82373,96774600
8/27/2015,111.6299975,112.230003,113.239998,110.019997,112.919998,104.822113,84616100
8/28/2015,112.4249995,112.169998,113.309998,111.540001,113.290001,105.165558,53164400
8/31/2015,113.2649995,112.029999,114.529999,112,112.760002,104.673584,56229300
